Product Name,Hair Type,Comment,Sentiment Score,Tags,Category,User Name,Comment Date,Product URL,Product Image,Description,Price,Analyzed Date
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Fragrance:mild
Effectiveness:💯
Texture:liquidy

Sa wakas dumating din! I've been waiting for this para maisama ko sa hair routine ko first time ko gagamit for sure oorder ulit ako kaso sana next time mas mabilis na shipping 🥲",0.9155200123786926,curl-defining; anti-frizz; moisturizing,Styling Product,eyelemenowpiiii,2023-09-21T07:26:43.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,Thank you so much seller and rider kudos more order to come complete package delivered on time we will order again next time thank you so much,0.8472538590431213,curl-defining; anti-frizz; moisturizing,Styling Product,keythbueredogos,2025-02-07T05:45:47.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Fragrance:good
Effectiveness:very good
Texture:soft

Highly recommended this, good quality and item received in good condition.",0.9097721576690674,curl-defining; anti-frizz; moisturizing,Styling Product,l*****2,2024-12-16T06:08:08.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"2. Mabilis ang delivery. Maganda ang packaging, very secured. Items are in good condition. Halatang bagong manufacture. Super nice din talaga mag watsons sa shopee. Di na need pumila ng pagkahaba sa mall haha. Thank you Watsons! Trusted talaga.",0.8966478705406189,curl-defining; anti-frizz; moisturizing,Styling Product,j*****n,2025-02-26T08:54:35.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Benefits:tried it once but it seems like I’ve done it the wrong way. Smells nice and good
Beauty Profile:curly hair
Packaging:very secured and leak proof packaging",0.5043579339981079,curl-defining; anti-frizz; moisturizing,Styling Product,p*****u,2025-08-06T08:02:35.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Texture:goods naman, not too watery
Fragrance:goods lang din
Effectiveness:so far very effective siya sa aking curly hair

Very effective sa aking curly hair, ginagamit ko lang tuwing may gala ganon and second time ko na nag purchased nitooo",0.9398787617683412,curl-defining; anti-frizz; moisturizing,Styling Product,s*****k,2024-11-11T10:53:13.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Effectiveness:effective for me
Fragrance:natural
Texture:smooth

maganda ang pagkakabalot talagang secured na secured...highly recommended this shop...thank you seller...and kay rider na rin.",0.8715020418167114,curl-defining; anti-frizz; moisturizing,Styling Product,la_tins,2022-08-10T07:20:33.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Beauty Profile:my hair type is 2A I guess
Packaging:the packaging is secured
Fragrance:it's has floral scent and last long for a day

It has light weight texture and amazing fragrance",0.8979100584983826,curl-defining; anti-frizz; moisturizing,Styling Product,y*****5,2025-03-19T15:44:58.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Fragrance:Lingering smell
Benefits:Keep your hair intact and neat
Usage Experience:Easy to use

Recommended by a friend. Result is guaranteed. Cheap and affordable. Very useful and effective for someone with a curly and a wavy hair, keeping your hair neat",0.9355021715164183,curl-defining; anti-frizz; moisturizing,Styling Product,heyhya88,2025-10-06T15:08:04.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
LUXE ORGANIX Premium Keratin Curl and Define Treatment 120ml,curly,"Texture:good
Fragrance:mabango
Effectiveness:oks siya

maganda siya sa buhok, mabango rin. worth the buy especially sa mga curly hair talaga kasi naeenhance yung curl",0.915289580821991,curl-defining; anti-frizz; moisturizing,Styling Product,j*****o,2024-12-27T12:36:21.000Z,https://shopee.ph/LUXE-ORGANIX-Premium-Keratin-Curl-and-Define-Treatment-120ml-i.92328166.5151253393?extraParams=%7B%22display_model_id%22%3A40918900336%2C%22model_selection_logic%22%3A3%7D&sp_atk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22&xptdk=da8fb10c-46cd-48ae-9881-e5fe2b49ef22,https://down-bs-us.img.susercontent.com/dfd950704d063d2c42e867f7aa260ff6.jpg,"Luxe Organix Premium Keratin  Curling Essence is a lightweight essence for naturally bouncy curls.  



Easily defines curls enriched with Moroccan Oil to hydrate and repair damaged hair.",₱118,2025-11-22 18:36:36
